"","event.id","predicted","NOISE","X045","X085","original","correct"
"244","2267","NOISE",0.7982,0.0131,0.1887,"NOISE",TRUE
"245","2268","NOISE",0.9362,0.0149,0.0489,"NOISE",TRUE
"246","2269","NOISE",0.9336,0.0217,0.0447,"NOISE",TRUE
"247","2271","NOISE",0.9964,3e-04,0.0033,"NOISE",TRUE
"248","2272","NOISE",0.9595,0.0114,0.0291,"NOISE",TRUE
"249","2273","NOISE",0.8826,2e-04,0.1172,"NOISE",TRUE
"250","2275","NOISE",0.993,8e-04,0.0062,"NOISE",TRUE
"251","2276","NOISE",0.9968,7e-04,0.0025,"NOISE",TRUE
"252","2281","NOISE",0.9948,0.0012,0.004,"NOISE",TRUE
"253","2282","NOISE",0.9863,0.0027,0.011,"NOISE",TRUE
"254","2283","NOISE",0.864,0.0089,0.1271,"NOISE",TRUE
"255","2284","NOISE",0.8103,0.0102,0.1795,"NOISE",TRUE
"256","2285","NOISE",0.977,0.0044,0.0186,"NOISE",TRUE
"257","2290","NOISE",0.996,4e-04,0.0036,"NOISE",TRUE
"258","2291","NOISE",0.9065,0.022,0.0715,"NOISE",TRUE
"259","2292","NOISE",0.9394,0.001,0.0596,"NOISE",TRUE
"260","2293","NOISE",0.9831,0.0037,0.0132,"NOISE",TRUE
"261","2294","NOISE",0.9215,0.0023,0.0762,"NOISE",TRUE
"262","2295","NOISE",0.9264,0.0221,0.0515,"NOISE",TRUE
"263","2296","NOISE",0.9648,0.0089,0.0263,"NOISE",TRUE
"264","2297","NOISE",0.9986,4e-04,0.001,"NOISE",TRUE
"265","2299","NOISE",0.5288,0.026,0.4452,"NOISE",TRUE
"266","2300","NOISE",0.5922,0.03,0.3778,"NOISE",TRUE
"267","2301","NOISE",0.7626,0.0391,0.1983,"NOISE",TRUE
"268","2302","X085",0.4486,0.0782,0.4732,"NOISE",FALSE
"269","2303","NOISE",0.5833,0.0462,0.3705,"NOISE",TRUE
"270","2321","NOISE",0.6167,0.039,0.3443,"NOISE",TRUE
"271","2324","NOISE",0.8409,0.0075,0.1516,"NOISE",TRUE
"272","2325","NOISE",0.523,0.0321,0.4449,"NOISE",TRUE
"273","2327","NOISE",0.9929,0.0018,0.0053,"NOISE",TRUE
"274","2340","NOISE",0.9306,0.0226,0.0468,"X085",FALSE
"275","2341","NOISE",0.604,0.0417,0.3543,"X085",FALSE
"276","2342","X085",0.4254,0.0377,0.5369,"X085",TRUE
"277","2398","NOISE",0.7417,0.0094,0.2489,"NOISE",TRUE
"278","2408","NOISE",0.9843,0.0042,0.0115,"NOISE",TRUE
"279","2409","NOISE",0.9823,0.0039,0.0138,"NOISE",TRUE
"280","2410","NOISE",0.9792,0.0045,0.0163,"NOISE",TRUE
"281","2415","NOISE",0.9998,0,2e-04,"NOISE",TRUE
"282","2418","NOISE",0.9994,2e-04,4e-04,"NOISE",TRUE
"283","2420","NOISE",0.8636,0.0062,0.1302,"NOISE",TRUE
"284","2421","NOISE",0.9436,0.0116,0.0448,"NOISE",TRUE
"285","2422","NOISE",0.8566,0.0061,0.1373,"NOISE",TRUE
"286","2423","NOISE",0.8549,0.0043,0.1408,"NOISE",TRUE
"287","2424","NOISE",0.9261,0.0019,0.072,"NOISE",TRUE
"288","2425","NOISE",0.9331,0.0158,0.0511,"NOISE",TRUE
"289","2426","NOISE",0.8941,0.0064,0.0995,"NOISE",TRUE
"290","2427","NOISE",0.8767,0.0098,0.1135,"NOISE",TRUE
"291","2428","NOISE",0.9769,0.004,0.0191,"NOISE",TRUE
"292","2429","NOISE",0.823,0.0121,0.1649,"NOISE",TRUE
"293","2430","NOISE",0.8403,0.0078,0.1519,"NOISE",TRUE
"294","2431","NOISE",0.9876,0.003,0.0094,"NOISE",TRUE
"295","2432","NOISE",0.9818,0.0034,0.0148,"NOISE",TRUE
"296","2433","NOISE",0.9861,0.0029,0.011,"NOISE",TRUE
"297","2434","NOISE",0.9779,0.0042,0.0179,"NOISE",TRUE
"298","2435","NOISE",0.9836,0.0034,0.013,"NOISE",TRUE
"299","2436","NOISE",0.9971,7e-04,0.0022,"NOISE",TRUE
"300","2437","NOISE",0.9731,0.0064,0.0205,"NOISE",TRUE
"301","2438","NOISE",0.9892,0.002,0.0088,"NOISE",TRUE
"302","2439","NOISE",0.9589,0.0117,0.0294,"NOISE",TRUE
"303","2440","NOISE",0.9974,7e-04,0.0019,"NOISE",TRUE
"304","2441","NOISE",0.8843,0.0029,0.1128,"NOISE",TRUE
"305","2442","NOISE",0.9788,0.0048,0.0164,"NOISE",TRUE
"306","2452","NOISE",0.9823,0.0015,0.0162,"NOISE",TRUE
"307","2453","X085",0.442,0.0458,0.5122,"NOISE",FALSE
"308","2454","NOISE",0.5832,0.0661,0.3507,"NOISE",TRUE
"309","2455","NOISE",0.8736,0.0095,0.1169,"NOISE",TRUE
"310","2456","NOISE",0.9586,0.0089,0.0325,"NOISE",TRUE
"311","2457","NOISE",0.9978,1e-04,0.0021,"NOISE",TRUE
"312","2458","NOISE",0.8526,0.0059,0.1415,"NOISE",TRUE
"313","2467","X085",0.3652,0.0383,0.5965,"NOISE",FALSE
"314","2468","NOISE",0.8165,0.0109,0.1726,"NOISE",TRUE
"315","2469","NOISE",0.9171,0.0168,0.0661,"NOISE",TRUE
"316","2470","NOISE",0.8223,0.0095,0.1682,"NOISE",TRUE
"317","2471","NOISE",0.9216,0.0075,0.0709,"NOISE",TRUE
"318","2472","NOISE",0.9378,0.0083,0.0539,"NOISE",TRUE
"319","2473","NOISE",0.9169,0.0121,0.071,"NOISE",TRUE
"320","2474","NOISE",0.9759,0.0046,0.0195,"NOISE",TRUE
"321","2475","NOISE",0.8189,0.0105,0.1706,"NOISE",TRUE
"322","2476","NOISE",0.9207,0.0025,0.0768,"NOISE",TRUE
"323","2477","NOISE",0.8199,0.0096,0.1705,"NOISE",TRUE
"324","2478","NOISE",0.8238,0.0654,0.1108,"NOISE",TRUE
"325","2479","NOISE",0.9882,0.0026,0.0092,"NOISE",TRUE
"326","2480","NOISE",0.6983,0.0493,0.2524,"NOISE",TRUE
"327","2486","NOISE",0.9357,2e-04,0.0641,"NOISE",TRUE
"328","2487","NOISE",0.9751,0.0049,0.02,"NOISE",TRUE
"329","2489","NOISE",0.7651,0.0795,0.1554,"NOISE",TRUE
"330","2491","NOISE",0.8344,0.0075,0.1581,"NOISE",TRUE
"331","2494","NOISE",0.9947,0.0014,0.0039,"NOISE",TRUE
"332","2495","NOISE",0.9584,0.012,0.0296,"NOISE",TRUE
"333","2499","NOISE",0.9931,9e-04,0.006,"NOISE",TRUE
"334","2522","NOISE",0.9339,0.0217,0.0444,"NOISE",TRUE
"335","2530","NOISE",0.9537,0.0101,0.0362,"NOISE",TRUE
"336","2554","NOISE",0.8205,0.0781,0.1014,"NOISE",TRUE
"337","2555","NOISE",0.8318,0.0695,0.0987,"NOISE",TRUE
"338","2556","NOISE",0.9784,1e-04,0.0215,"NOISE",TRUE
"339","2565","NOISE",0.9962,0.0014,0.0024,"NOISE",TRUE
"340","2566","NOISE",0.997,7e-04,0.0023,"NOISE",TRUE
"341","2571","NOISE",0.9994,2e-04,4e-04,"NOISE",TRUE
"342","2572","NOISE",0.9984,4e-04,0.0012,"NOISE",TRUE
"343","2573","NOISE",0.9978,7e-04,0.0015,"NOISE",TRUE
"344","2575","NOISE",0.9997,1e-04,2e-04,"NOISE",TRUE
"345","2576","NOISE",0.8821,3e-04,0.1176,"NOISE",TRUE
"346","2577","NOISE",0.9713,6e-04,0.0281,"NOISE",TRUE
"347","2579","NOISE",0.984,0.0034,0.0126,"NOISE",TRUE
"348","2580","NOISE",0.9765,0.0065,0.017,"NOISE",TRUE
"349","2581","NOISE",0.9967,7e-04,0.0026,"NOISE",TRUE
"350","2582","NOISE",0.9146,0.0043,0.0811,"NOISE",TRUE
"351","2583","NOISE",0.8901,5e-04,0.1094,"NOISE",TRUE
"352","2584","NOISE",0.9914,0.0025,0.0061,"NOISE",TRUE
"353","2587","NOISE",0.9997,0,3e-04,"NOISE",TRUE
"354","2588","NOISE",0.9992,3e-04,5e-04,"NOISE",TRUE
"355","2589","NOISE",0.9997,1e-04,2e-04,"NOISE",TRUE
"356","2590","NOISE",0.9988,2e-04,0.001,"NOISE",TRUE
"357","2591","NOISE",0.9999,0,1e-04,"NOISE",TRUE
"358","2592","NOISE",0.9997,1e-04,2e-04,"NOISE",TRUE
"359","2593","NOISE",0.9946,0.0011,0.0043,"NOISE",TRUE
"360","2594","NOISE",0.9909,0.0021,0.007,"NOISE",TRUE
"361","2595","NOISE",0.9788,0.0053,0.0159,"NOISE",TRUE
"362","2596","NOISE",0.9859,0.0027,0.0114,"NOISE",TRUE
"363","2597","NOISE",0.9088,0.0062,0.085,"NOISE",TRUE
"364","2598","NOISE",0.9426,0.0143,0.0431,"NOISE",TRUE
"365","2599","NOISE",0.9952,0.0011,0.0037,"NOISE",TRUE
"366","2600","NOISE",0.9629,0.0212,0.0159,"NOISE",TRUE
"367","2604","NOISE",0.9999,0,1e-04,"NOISE",TRUE
"368","2605","NOISE",0.8668,0.0613,0.0719,"NOISE",TRUE
"369","2606","NOISE",0.9984,4e-04,0.0012,"NOISE",TRUE
"370","2607","NOISE",0.9973,7e-04,0.002,"NOISE",TRUE
"371","2608","NOISE",0.9982,5e-04,0.0013,"NOISE",TRUE
"372","2609","NOISE",0.9891,0.0024,0.0085,"NOISE",TRUE
"373","2611","NOISE",0.9891,0.0022,0.0087,"NOISE",TRUE
"374","2612","NOISE",0.9889,0.0018,0.0093,"NOISE",TRUE
