"","event.id","predicted","NOISE","X045","X085","original","correct"
"317","5637","NOISE",0.5236,0.0326,0.4438,"NOISE",TRUE
"318","5638","NOISE",0.6538,0.0217,0.3245,"NOISE",TRUE
"319","5639","NOISE",0.5333,0.0322,0.4345,"NOISE",TRUE
"320","5640","NOISE",0.6548,0.0311,0.3141,"NOISE",TRUE
"321","5641","NOISE",0.904,0.0043,0.0917,"NOISE",TRUE
"322","5642","NOISE",0.7919,0.0096,0.1985,"NOISE",TRUE
"323","5643","NOISE",0.7908,0.0161,0.1931,"NOISE",TRUE
"324","5644","X085",0.3436,0.1049,0.5515,"NOISE",FALSE
"325","5645","X085",0.3722,0.0398,0.588,"NOISE",FALSE
"326","5646","NOISE",0.6748,0.0277,0.2975,"NOISE",TRUE
"327","5647","NOISE",0.5311,0.0516,0.4173,"NOISE",TRUE
"328","5648","X085",0.3775,0.0368,0.5857,"NOISE",FALSE
"329","5649","NOISE",0.8665,0.0025,0.131,"NOISE",TRUE
"330","5650","NOISE",0.9437,0.0151,0.0412,"NOISE",TRUE
"331","5651","NOISE",0.9827,0.0045,0.0128,"NOISE",TRUE
"332","5652","NOISE",0.9977,5e-04,0.0018,"NOISE",TRUE
"333","5653","NOISE",0.9955,0.0013,0.0032,"NOISE",TRUE
"334","5654","NOISE",0.9973,7e-04,0.002,"NOISE",TRUE
"335","5655","NOISE",0.9947,0.0012,0.0041,"NOISE",TRUE
"336","5656","NOISE",0.9866,0.0029,0.0105,"NOISE",TRUE
"337","5657","NOISE",0.9903,0.0022,0.0075,"NOISE",TRUE
"338","5658","NOISE",0.9857,0.0032,0.0111,"NOISE",TRUE
"339","5659","NOISE",0.9973,7e-04,0.002,"NOISE",TRUE
"340","5660","NOISE",0.9816,0.004,0.0144,"NOISE",TRUE
"341","5661","NOISE",0.9985,4e-04,0.0011,"NOISE",TRUE
"342","5662","NOISE",0.9985,4e-04,0.0011,"NOISE",TRUE
"343","5663","NOISE",0.9996,2e-04,2e-04,"NOISE",TRUE
"344","5664","NOISE",0.9952,0.0011,0.0037,"NOISE",TRUE
"345","5665","NOISE",0.993,0.0018,0.0052,"NOISE",TRUE
"346","5666","NOISE",1,0,0,"NOISE",TRUE
"347","5671","NOISE",0.9982,7e-04,0.0011,"NOISE",TRUE
"348","5673","NOISE",0.9896,0.0017,0.0087,"NOISE",TRUE
"349","5682","NOISE",0.9837,0.0035,0.0128,"NOISE",TRUE
"350","5683","NOISE",0.9762,0.0057,0.0181,"NOISE",TRUE
"351","5686","NOISE",0.7484,0.0415,0.2101,"NOISE",TRUE
"352","5687","NOISE",0.9796,0.0054,0.015,"NOISE",TRUE
"353","5688","NOISE",0.9987,0,0.0013,"NOISE",TRUE
"354","5689","NOISE",0.9545,0.0146,0.0309,"NOISE",TRUE
"355","5690","NOISE",0.9994,2e-04,4e-04,"NOISE",TRUE
"356","5749","NOISE",0.9999,0,1e-04,"NOISE",TRUE
"357","5750","NOISE",0.8823,0.0234,0.0943,"NOISE",TRUE
"358","5751","NOISE",0.847,0.0605,0.0925,"NOISE",TRUE
"359","5806","NOISE",0.8502,0.0076,0.1422,"NOISE",TRUE
"360","5807","NOISE",0.9939,4e-04,0.0057,"NOISE",TRUE
"361","5809","NOISE",0.9958,8e-04,0.0034,"NOISE",TRUE
"362","5810","NOISE",0.8401,0.0553,0.1046,"NOISE",TRUE
"363","5811","NOISE",0.9116,0.0187,0.0697,"NOISE",TRUE
"364","5812","NOISE",0.9266,0.019,0.0544,"NOISE",TRUE
"365","5813","NOISE",0.5895,0.1644,0.2461,"NOISE",TRUE
"366","5814","NOISE",0.8902,0,0.1098,"NOISE",TRUE
"367","5815","NOISE",0.9065,0.0184,0.0751,"NOISE",TRUE
"368","5816","NOISE",0.9998,0,2e-04,"NOISE",TRUE
"369","5817","NOISE",0.7462,0.0361,0.2177,"NOISE",TRUE
"370","5818","NOISE",0.9267,0.0192,0.0541,"NOISE",TRUE
"371","5819","NOISE",0.8069,0.0115,0.1816,"NOISE",TRUE
"372","5820","NOISE",0.9023,0.0221,0.0756,"NOISE",TRUE
"373","5821","NOISE",0.809,0.0122,0.1788,"NOISE",TRUE
"374","5835","X085",0.3504,0.0283,0.6213,"X085",TRUE
"375","5837","NOISE",0.9309,0.0279,0.0412,"NOISE",TRUE
"376","5855","NOISE",0.9985,5e-04,0.001,"NOISE",TRUE
"377","5856","NOISE",0.9781,0.0043,0.0176,"NOISE",TRUE
"378","5857","NOISE",0.9286,0.0015,0.0699,"NOISE",TRUE
"379","5858","NOISE",0.995,7e-04,0.0043,"NOISE",TRUE
"380","5859","NOISE",0.9866,0.0032,0.0102,"NOISE",TRUE
"381","5860","NOISE",0.973,0.0044,0.0226,"NOISE",TRUE
"382","5861","NOISE",0.9822,0.0042,0.0136,"NOISE",TRUE
"383","5862","NOISE",0.9782,0.0057,0.0161,"NOISE",TRUE
"384","5863","NOISE",0.9965,8e-04,0.0027,"NOISE",TRUE
"385","5870","NOISE",0.5059,0.0991,0.395,"NOISE",TRUE
"386","5882","NOISE",0.5768,0.0561,0.3671,"NOISE",TRUE
"387","5883","NOISE",0.6755,0.0444,0.2801,"NOISE",TRUE
"388","5884","NOISE",0.7203,0.0471,0.2326,"NOISE",TRUE
"389","5885","NOISE",0.985,0.0028,0.0122,"NOISE",TRUE
